Datetime,news_cnt_5m,news_cnt_15m,news_cnt_60m,sent_sum_pos_5m,sent_sum_neg_5m,sent_net_5m,sent_sum_pos_15m,sent_sum_neg_15m,sent_net_15m,sent_sum_pos_60m,sent_sum_neg_60m,sent_net_60m,sent_ewm_60m
2025-11-07 14:47:00+00:00,3.0,8.0,12.0,0.7472014352679253,1.371879837475717,-0.12493568044155841,1.7525094375014307,2.983102004043758,-0.08203950443615517,2.619212980382144,5.1184999365359545,-0.04165478260256351,-0.012476895390905867
2025-11-07 14:48:00+00:00,4.0,8.0,13.0,0.7551298541948198,2.346015772782266,-0.31817718371748926,1.3231800599023702,3.937101556919515,-0.17426143313447634,2.6271413993090387,6.0926358718425035,-0.05775824120889108,-0.02343142589240255
2025-11-07 14:49:00+00:00,3.0,8.0,13.0,0.4426637394353746,2.3344463109970093,-0.378356514312327,1.3231800599023702,3.937101556919515,-0.17426143313447634,2.6271413993090387,6.0926358718425035,-0.05775824120889108,-0.023162293011499788
2025-11-07 14:50:00+00:00,3.0,7.0,13.0,0.4426637394353746,2.3344463109970093,-0.378356514312327,0.887757699005306,3.8698913296684623,-0.1988089087108771,2.6271413993090387,6.0926358718425035,-0.05775824120889108,-0.02289625138538944
2025-11-07 14:51:00+00:00,2.0,7.0,13.0,0.4283729372546076,1.367994785308838,-0.18792436961084608,0.887757699005306,3.8698913296684623,-0.1988089087108771,2.6271413993090387,6.0926358718425035,-0.05775824120889108,-0.02263326550798188
2025-11-07 14:52:00+00:00,1.0,6.0,13.0,0.0079284189268946,0.9741359353065493,-0.19324150327593087,0.8576115714386109,3.824630699120462,-0.1978012751787901,2.6271413993090387,6.0926358718425035,-0.05775824120889108,-0.022373300281009697
2025-11-07 14:53:00+00:00,0.0,5.0,13.0,0.0,0.0,0.0,0.848768177442253,2.850162169896066,-0.13342626616358758,2.6271413993090387,6.0926358718425035,-0.05775824120889108,-0.02211632100934347
2025-11-07 14:54:00+00:00,1.0,6.0,14.0,0.4108112752437591,0.01004573330283171,0.0801531083881855,1.259579452686012,2.860207903198898,-0.10670856336752574,3.037952674552798,6.102681605145335,-0.05107881550987562,-0.017259108538367214
2025-11-07 14:55:00+00:00,1.0,6.0,14.0,0.4108112752437591,0.01004573330283171,0.0801531083881855,1.259579452686012,2.860207903198898,-0.10670856336752574,3.037952674552798,6.102681605145335,-0.05107881550987562,-0.017060870768968367
2025-11-07 14:56:00+00:00,1.0,6.0,14.0,0.4108112752437591,0.01004573330283171,0.0801531083881855,1.259579452686012,2.860207903198898,-0.10670856336752574,3.037952674552798,6.102681605145335,-0.05107881550987562,-0.016864909954554124
2025-11-07 14:57:00+00:00,1.0,5.0,14.0,0.4108112752437591,0.01004573330283171,0.0801531083881855,1.1659411294385793,2.356061506085098,-0.07934135844310125,3.037952674552798,6.102681605145335,-0.05107881550987562,-0.016671199942065874
